Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
272000,None,-0.18790253,61.3426,0.2597592,0.00029184305,499.0,-19.86074281993665,-19.86074281993665,1.0
273000,1.2744379,-0.55860484,63.19003,0.24825726,0.00029181188,None,-19.802299880981444,-19.802299880981444,1.0
274000,1.2769738,-1.3471073,47.107407,0.18756181,0.00029180868,None,-14.558863639831543,-14.558863639831543,1.0
275000,1.267764,-1.2682894,0.019619085,0.23073268,0.00029177032,None,None,None,1.0
276000,1.2756678,-1.1377492,0.014037648,0.23280123,0.00029173004,None,None,None,1.0
277000,None,-1.012594,None,None,None,None,None,None,1.0
278000,1.2694942,-0.8917959,0.005372237,0.24677174,0.00029168974,None,None,None,1.0
279000,1.2680221,-0.7914715,0.0064501595,0.25169623,0.00029164937,None,None,None,1.0
280000,None,-0.72772664,0.0039891605,0.23195784,0.00029160903,None,None,None,1.0
281000,1.2662346,-0.65360725,0.0018471731,0.24708712,0.0002915706,None,None,None,1.0
282000,1.264045,-0.5515149,0.0045673703,0.21124615,0.00029156674,None,None,None,1.0
283000,1.2617583,-0.5084386,0.0010561881,0.26177564,0.0002915284,None,None,None,1.0
284000,1.2587214,-0.45565662,0.0016116368,0.2558724,0.00029148808,None,None,None,1.0
285000,None,-0.39582655,None,None,None,None,None,None,1.0
286000,1.2626185,-0.35187826,0.0006070909,0.2367857,0.0002914478,None,None,None,1.0
287000,1.2637962,-0.30954993,0.0008428927,0.23561825,0.00029140746,None,None,None,1.0
288000,None,-0.27607232,0.0006538017,0.22705193,0.0002913671,None,None,None,1.0
289000,1.2615331,-0.25029218,None,None,None,None,None,None,1.0
290000,1.2585043,-0.20811152,0.0004303751,0.24331808,0.0002913268,None,None,None,1.0
291000,1.2760533,-0.18991855,0.00032403477,0.2128377,0.00029128647,None,None,None,1.0
292000,1.2708007,-0.16857693,0.00064383226,0.2138708,0.00029124616,500.0,-26.1010103225708,-26.1010103225708,1.0
293000,None,-0.16155452,76.62025,0.25364426,0.0002912124,500.0,-21.193180686549137,-21.193180686549137,1.0
294000,1.2721412,-0.5793111,55.978714,0.24411942,0.00029118065,None,-18.80102579217208,-18.80102579217208,1.0
295000,1.2736142,-1.4240284,71.453926,0.27011633,0.00029117745,None,-22.244389533996582,-22.244389533996582,1.0
296000,1.2764472,-1.3528498,0.022523364,0.23829347,0.0002911391,None,None,None,1.0
297000,1.2768905,-1.2461276,0.018422939,0.18950781,0.00029109878,None,None,None,1.0
298000,None,-1.0938824,None,None,None,None,None,None,1.0
299000,1.2807952,-0.95677197,0.007983547,0.22982426,0.0002910585,None,None,None,1.0
300000,1.2823259,-0.8683506,0.007979411,0.25968388,0.00029101814,None,None,None,1.0
301000,None,-0.7870178,0.0032146978,0.23965003,0.0002909759,None,None,None,1.0
